IBOV - Carteira do Dia 20/05/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;4.358.542.894;3,444;
ASAI3;ASSAI;ON      NM;88.180.251;0,329;
AZUL4;AZUL;PN      N2;327.262.616;0,586;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,514;
B3SA3;B3;ON  EB  NM;6.119.434.194;4,742;
BIDI11;BANCO INTER;UNT     N2;78.450.313;0,631;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,705;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,405;
BBDC3;BRADESCO;ON      N1;1.253.093.907;1,248;
BBDC4;BRADESCO;PN      N1;4.261.649.634;4,903;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,713;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,888;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,609;
BRFS3;BRF SA;ON      NM;811.759.800;0,805;
BPAC11;BTGP BANCO;UNT     N2;236.093.794;1,229;
CRFB3;CARREFOUR BR;ON      NM;391.758.726;0,360;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,692;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,646;
HGTX3;CIA HERING;ON      NM;126.186.408;0,163;
CIEL3;CIELO;ON      NM;1.112.196.638;0,195;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,333;
CPLE6;COPEL;PNB     N1;570.829.074;0,155;
CSAN3;COSAN;ON      NM;1.169.237.744;1,177;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,241;
CVCB3;CVC BRASIL;ON      NM;200.884.562;0,219;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,292;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,094;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,685;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,464;
EMBR3;EMBRAER;ON      NM;736.143.105;0,526;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,194;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,513;
ENEV3;ENEVA;ON      NM;1.248.545.726;0,941;
EGIE3;ENGIE BRASIL;ON  ED  NM;254.792.279;0,461;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;1,166;
EZTC3;EZTEC;ON      NM;95.756.217;0,133;
FLRY3;FLEURY;ON      NM;303.800.430;0,369;
GGBR4;GERDAU;PN  ED  N1;995.903.643;1,590;
GOAU4;GERDAU MET;PN  ED  N1;693.699.918;0,487;
GOLL4;GOL;PN      N2;139.276.933;0,162;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;1,918;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,829;
HYPE3;HYPERA;ON      NM;410.147.968;0,647;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,162;
GNDI3;INTERMEDICA;ON  ED  NM;593.438.080;2,144;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,343;
ITSA4;ITAUSA;PN      N1;4.515.538.171;2,183;
ITUB4;ITAUUNIBANCO;PN      N1;4.770.095.054;6,253;
JBSS3;JBS;ON      NM;1.388.025.890;1,867;
JHSF3;JHSF PART;ON      NM;288.832.602;0,098;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;1,112;
RENT3;LOCALIZA;ON      NM;593.841.434;1,597;
LCAM3;LOCAMERICA;ON      NM;323.763.077;0,364;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,444;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,726;
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,772;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,244;
MRFG3;MARFRIG;ON      NM;368.864.634;0,315;
BEEF3;MINERVA;ON      NM;240.482.896;0,102;
MRVE3;MRV;ON      NM;293.978.672;0,230;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,272;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,247;
PETR3;PETROBRAS;ON      N2;3.620.580.434;4,158;
PETR4;PETROBRAS;PN      N2;4.566.457.037;5,373;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,325;
PRIO3;PETRORIO;ON      NM;807.220.415;0,663;
QUAL3;QUALICORP;ON      NM;283.467.789;0,339;
RADL3;RAIADROGASIL;ON      NM;1.072.645.150;1,290;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;1,108;
SBSP3;SABESP;ON      NM;339.999.111;0,637;
SANB11;SANTANDER BR;UNT;355.642.348;0,656;
CSNA3;SID NACIONAL;ON;642.398.790;1,366;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,407;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;2,151;
TAEE11;TAESA;UNT EDJ N2;218.568.274;0,385;
VIVT3;TELEF BRASIL;ON;444.219.852;0,879;
TIMS3;TIM;ON      NM;808.485.985;0,435;
TOTS3;TOTVS;ON      NM;480.228.410;0,661;
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,994;
USIM5;USIMINAS;PNA     N1;513.796.208;0,475;
VALE3;VALE;ON      NM;2.456.887.211;12,410;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;0,865;
WEGE3;WEG;ON      NM;1.482.296.002;2,108;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,437;
Quantidade Teórica Total;;;83.699.199.361;100,000
Redutor;;;18.121.279,54542910
